Origin Document,File,Entity,Entity-Long,Section,Section Title,Part In Document,Description,Link,Symbol,Full Document Symbol,Source
PKM 26/27 (A/80/605),A_80_605.json,UNLB,United Nations Logistics Base at Brindisi,,,"Mandate, results achieved and planned outcome","As part of the Department of Operational Support, UNLB is mandated to serve all field missions, all Secretariat entities, and United Nations system entities, as well as to cooperate in developing broader cooperation with regional organizations, in alignment with the Department’s mandate under the guidance of the Office of Supply Chain Management, pursuant to General Assembly resolution 72/266 B on shifting the management paradigm in the United Nations and the recommendation of the Advisory Committee (A/78/744/Add.",https://docs.un.org/en/A/RES/72/266B,72/266,A/RES/72/266B,General Assembly resolutions
PKM 26/27 (A/80/605),A_80_605.json,UNLB,United Nations Logistics Base at Brindisi,,,"Mandate, results achieved and planned outcome",44) endorsed by the Assembly in its resolution 78/295.,https://docs.un.org/en/A/RES/78/295,78/295,A/RES/78/295,General Assembly resolutions
PKM 26/27 (A/80/605),A_80_605.json,UNLB,United Nations Logistics Base at Brindisi,,,"Mandate, results achieved and planned outcome","The budgets of tenant units and the regional aviation safety office were transferred to their respective parent offices under the support account for peacekeeping operations, effective from the 2025/26 period, as approved by the General Assembly in its resolution 79/300.",https://docs.un.org/en/A/RES/79/300,79/300,A/RES/79/300,General Assembly resolutions
PKM 26/27 (A/80/605),A_80_605.json,UNLB,United Nations Logistics Base at Brindisi,,,"Mandate, results achieved and planned outcome",31) endorsed by the General Assembly in its resolution 79/300.,https://docs.un.org/en/A/RES/79/300,79/300,A/RES/79/300,General Assembly resolutions
PKM 26/27 (A/80/605),A_80_605.json,UNLB,United Nations Logistics Base at Brindisi,,,"Mandate, results achieved and planned outcome","), endorsed by the General Assembly in its resolution 78/295, planning assumptions for strategic deployment stocks had been revised.",https://docs.un.org/en/A/RES/78/295,78/295,A/RES/78/295,General Assembly resolutions
PKM 26/27 (A/80/605),A_80_605.json,UNLB,United Nations Logistics Base at Brindisi,,,"Mandate, results achieved and planned outcome","In 2026/27, the Base will enhance collaboration with regional organizations, in particular the African Union, to improve operational synergies, innovation and joint capabilities in line with General Assembly resolution 79/329.",https://docs.un.org/en/A/RES/79/329,79/329,A/RES/79/329,General Assembly resolutions
PKM 26/27 (A/80/607),A_80_607.json,UNFICYP,United Nations Peacekeeping Force in Cyprus,,Financing of the United Nations Peacekeeping Force in Cyprus,"Mandate, results achieved and planned outcome",The mandate of UNFICYP was established by the Security Council in its resolution 186 (1964).,https://docs.un.org/en/S/RES/186(1964),186 (1964),S/RES/186(1964),Security Council resolutions
PKM 26/27 (A/80/607),A_80_607.json,UNFICYP,United Nations Peacekeeping Force in Cyprus,,Financing of the United Nations Peacekeeping Force in Cyprus,"Mandate, results achieved and planned outcome",The mandate for the performance period was provided in its resolutions 2674 (2023) and 2723 (2024).,https://docs.un.org/en/S/RES/2674(2023),2674 (2023),S/RES/2674(2023),Security Council resolutions
PKM 26/27 (A/80/607),A_80_607.json,UNFICYP,United Nations Peacekeeping Force in Cyprus,,Financing of the United Nations Peacekeeping Force in Cyprus,"Mandate, results achieved and planned outcome",The mandate for the performance period was provided in its resolutions 2674 (2023) and 2723 (2024).,https://docs.un.org/en/S/RES/2723(2024),2723 (2024),S/RES/2723(2024),Security Council resolutions
PKM 26/27 (A/80/607),A_80_607.json,UNFICYP,United Nations Peacekeeping Force in Cyprus,,Financing of the United Nations Peacekeeping Force in Cyprus,"Mandate, results achieved and planned outcome","The most recent extension of the mandate was authorized by the Council in its resolution 2815 (2026), by which it extended the mandate until 31 January 2027.",https://docs.un.org/en/S/RES/2815(2026),2815 (2026),S/RES/2815(2026),Security Council resolutions
