Origin Document,Part In Document,File,Addendum,Part,Section,Section Title,Entity-Long,Entity,Programme,Programme Title,Subprogramme,Description,Link,Symbol,Full Document Symbol,Source
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,Pattern of conferences,https://docs.un.org/en/A/RES/43/222,43/222,A/RES/43/222,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,Pattern of conferences,https://docs.un.org/en/A/RES/80/234,80/234,A/RES/80/234,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,Revitalization of the work of the General Assembly,https://docs.un.org/en/A/RES/46/77,46/77,A/RES/46/77,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,Revitalization of the work of the General Assembly,https://docs.un.org/en/A/RES/79/327,79/327,A/RES/79/327,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,Multilingualism,https://docs.un.org/en/A/RES/50/11,50/11,A/RES/50/11,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,Multilingualism,https://docs.un.org/en/A/RES/78/330,78/330,A/RES/78/330,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,Questions relating to the proposed programme budget for 2026,https://docs.un.org/en/A/RES/80/242,80/242,A/RES/80/242,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, New York",Rules of procedure of the General Assembly,https://docs.un.org/en/A/520/Rev.21,A/520/Rev.21,A/520/REV.21,General Assembly mandate
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, New York",Rules of procedure of the Economic and Social Council,https://docs.un.org/en/E/5715/Rev.2,E/5715/Rev.2,E/5715/REV.2,Economic and Social Council mandate
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, New York",Provisional rules of procedure of the Security Council,https://docs.un.org/en/S/96/Rev.7,S/96/Rev.7,S/96/REV.7,Security Council mandate
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",Establishment of an International Law Commission,https://docs.un.org/en/A/RES/174(II),174 (II),A/RES/174(II),General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",International assistance to refugees within the mandate of the United Nations High Commissioner for Refugees,https://docs.un.org/en/A/RES/1166(XII),1166 (XII),A/RES/1166(XII),General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",United Nations Framework Convention on Climate Change,https://docs.un.org/en/A/RES/48/189,48/189,A/RES/48/189,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",International trade and development,https://docs.un.org/en/A/RES/60/184,60/184,A/RES/60/184,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",Human Rights Council,https://docs.un.org/en/A/RES/60/251,60/251,A/RES/60/251,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva","Implementation of the United Nations Convention to Combat Desertification in Those Countries Experiencing Serious Drought and/or Desertification, Particularly in Africa",https://docs.un.org/en/A/RES/62/193,62/193,A/RES/62/193,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva","Implementation of the United Nations Convention to Combat Desertification in Those Countries Experiencing Serious Drought and/or Desertification, Particularly in Africa",https://docs.un.org/en/A/RES/66/201,66/201,A/RES/66/201,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",Report of the Human Rights Council,https://docs.un.org/en/A/RES/63/160,63/160,A/RES/63/160,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",Strengthening and enhancing the effective functioning of the human rights treaty body system,https://docs.un.org/en/A/RES/68/268,68/268,A/RES/68/268,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva","Special subjects relating to the proposed programme budget for 2025 revised estimates resulting from resolutions and decisions adopted by the Human Rights Council at its fifty-fifth, fifty-sixth and fifty-seventh regular sessions",https://docs.un.org/en/A/RES/79/258,79/258,A/RES/79/258,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva","Special subjects relating to the proposed programme budget for 2026: revised estimates resulting from resolutions and decisions adopted by the Human Rights Council at its fifty-eighth, fifty-ninth and sixtieth regular sessions and its thirty-seventh special session",https://docs.un.org/en/A/RES/80/243,80/243,A/RES/80/243,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",Rules of procedure of the Conference on Disarmament (sect. X),https://docs.un.org/en/CD/8/Rev.10,CD/8/Rev.10,CD/8/REV.10,Conference on Disarmament mandate
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",Economic Commission for Europe,https://docs.un.org/en/e/RES/36(IV),36 (IV),E/RES/36(IV),Economic and Social Council resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",Strengthening the United Nations Forum of Mayors,https://docs.un.org/en/E/RES/2025/25,2025/25,E/RES/2025/25,Economic and Social Council resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Geneva",Multilingualism in meetings under the Convention on the Protection and Use of Transboundary Watercourses and International Lakes,https://docs.un.org/en/E/RES/2025/27,2025/27,E/RES/2025/27,Economic and Social Council resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",Effects of atomic radiation,https://docs.un.org/en/A/RES/913(X),913 (X),A/RES/913(X),General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",Agreement governing the relationship between the United Nations and the International Atomic Energy Agency,https://docs.un.org/en/A/RES/1145(XII),1145 (XII),A/RES/1145(XII),General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",International cooperation in the peaceful uses of outer space,https://docs.un.org/en/A/RES/1472(XIV),1472 (XIV),A/RES/1472(XIV),General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",International cooperation in the peaceful uses of outer space,https://docs.un.org/en/A/RES/69/85,69/85,A/RES/69/85,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",United Nations Industrial Development Organization,https://docs.un.org/en/A/RES/2152(XXI),2152 (XXI),A/RES/2152(XXI),General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",Establishment of the United Nations Commission on International Trade Law,https://docs.un.org/en/A/RES/2205(XXI),2205 (XXI),A/RES/2205(XXI),General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",Comprehensive Nuclear-Test-Ban Treaty,https://docs.un.org/en/A/RES/50/245,50/245,A/RES/50/245,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",United Nations Convention against Transnational Organized Crime,https://docs.un.org/en/A/RES/55/25,55/25,A/RES/55/25,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna","Protocol against the Illicit Manufacturing of and Trafficking in Firearms, Their Parts and Components and Ammunition, supplementing the United Nations Convention against Transnational Organized Crime",https://docs.un.org/en/A/RES/55/255,55/255,A/RES/55/255,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",United Nations Convention against Corruption,https://docs.un.org/en/A/RES/58/4,58/4,A/RES/58/4,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",Review of the implementation of General Assembly resolution 61/16 on the strengthening of the Economic and Social Council,https://docs.un.org/en/A/RES/68/1,68/1,A/RES/68/1,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",Follow-up to the Fourteenth United Nations Congress on Crime Prevention and Criminal Justice and preparations for the Fifteenth United Nations Congress on Crime Prevention and Criminal Justice,https://docs.un.org/en/A/RES/78/223,78/223,A/RES/78/223,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",Report of the United Nations Commission on International Trade Law on the work of its fifty-seventh session,https://docs.un.org/en/A/RES/79/117,79/117,A/RES/79/117,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna","United Nations Convention against Cybercrime;
Strengthening International Cooperation for Combating Certain Crimes Committed by Means of Information and Communications Technology Systems and for the Sharing of Evidence in Electronic Form of Serious Crimes",https://docs.un.org/en/A/RES/79/243,79/243,A/RES/79/243,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",Commission on Narcotic Drugs,https://docs.un.org/en/E/RES/9(I),9 (I),E/RES/9(I),Economic and Social Council resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",Establishment of the Commission on Crime Prevention and Criminal Justice,https://docs.un.org/en/E/RES/1992/1,1992/1,E/RES/1992/1,Economic and Social Council resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",,,"Single Convention on Narcotic Drugs of 1961, article 11",,International Narcotics Control Board
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",,,Convention on Psychotropic Substances of 1971,,International Narcotics Control Board
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",,,United Nations Convention against Illicit Traffic in Narcotic Drugs and Psychotropic Substances of 1988,,International Narcotics Control Board
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Vienna",,,Rules of Procedure of the Board,,International Narcotics Control Board
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Nairobi",Report of the United Nations Environment Assembly of the United Nations Environment Programme,https://docs.un.org/en/A/RES/79/209,79/209,A/RES/79/209,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,"Conference management, Nairobi",Implementation of the outcomes of the United Nations Conferences on Human Settlements and on Housing and Sustainable Urban Development and strengthening of the United Nations Human Settlements Programme (UN-Habitat),https://docs.un.org/en/A/RES/79/214,79/214,A/RES/79/214,General Assembly resolutions
PPB 2027,Mandates and background,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,"The mandates of the Department for General Assembly and Conference Management derive from the relevant rules of procedure and resolutions of the principal organs of the United Nations, including General Assembly resolutions on the pattern of conferences (43/222, the most recent being 80/234), multilingualism (50/11, the most recent being 78/330) and the revitalization of the work of the General Assembly (73/341, the most recent being 79/327).",https://docs.un.org/en/A/RES/43/222,43/222,A/RES/43/222,General Assembly resolutions
PPB 2027,Mandates and background,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,"The mandates of the Department for General Assembly and Conference Management derive from the relevant rules of procedure and resolutions of the principal organs of the United Nations, including General Assembly resolutions on the pattern of conferences (43/222, the most recent being 80/234), multilingualism (50/11, the most recent being 78/330) and the revitalization of the work of the General Assembly (73/341, the most recent being 79/327).",https://docs.un.org/en/A/RES/80/234,80/234,A/RES/80/234,General Assembly resolutions
PPB 2027,Mandates and background,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,"The mandates of the Department for General Assembly and Conference Management derive from the relevant rules of procedure and resolutions of the principal organs of the United Nations, including General Assembly resolutions on the pattern of conferences (43/222, the most recent being 80/234), multilingualism (50/11, the most recent being 78/330) and the revitalization of the work of the General Assembly (73/341, the most recent being 79/327).",https://docs.un.org/en/A/RES/50/11,50/11,A/RES/50/11,General Assembly resolutions
PPB 2027,Mandates and background,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,"The mandates of the Department for General Assembly and Conference Management derive from the relevant rules of procedure and resolutions of the principal organs of the United Nations, including General Assembly resolutions on the pattern of conferences (43/222, the most recent being 80/234), multilingualism (50/11, the most recent being 78/330) and the revitalization of the work of the General Assembly (73/341, the most recent being 79/327).",https://docs.un.org/en/A/RES/78/330,78/330,A/RES/78/330,General Assembly resolutions
PPB 2027,Mandates and background,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,"The mandates of the Department for General Assembly and Conference Management derive from the relevant rules of procedure and resolutions of the principal organs of the United Nations, including General Assembly resolutions on the pattern of conferences (43/222, the most recent being 80/234), multilingualism (50/11, the most recent being 78/330) and the revitalization of the work of the General Assembly (73/341, the most recent being 79/327).",https://docs.un.org/en/A/RES/73/341,73/341,A/RES/73/341,General Assembly resolutions
PPB 2027,Mandates and background,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,"The mandates of the Department for General Assembly and Conference Management derive from the relevant rules of procedure and resolutions of the principal organs of the United Nations, including General Assembly resolutions on the pattern of conferences (43/222, the most recent being 80/234), multilingualism (50/11, the most recent being 78/330) and the revitalization of the work of the General Assembly (73/341, the most recent being 79/327).",https://docs.un.org/en/A/RES/79/327,79/327,A/RES/79/327,General Assembly resolutions
PPB 2027,Mandates and background,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,"In accordance with General Assembly resolution 57/283 B, the Under-Secretary-General for General Assembly and Conference Management sets the policies, formulates standards and guidelines, manages resources under section 2 of the programme budget and oversees operations at Headquarters, while the Directors-General of the United Nations Offices at Geneva, Vienna and Nairobi are responsible for ensuring the implementation of those policies, standards and guidelines and for managing day-to-day operations at their duty stations.",https://docs.un.org/en/A/RES/57/283B,57/283,A/RES/57/283B,General Assembly resolutions
PPB 2027,Mandates and background,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,"Furthermore, the Secretary-General has promulgated the establishment of a framework for delegation of authority (see ST/SGB/2019/2).",https://docs.un.org/en/ST/SGB/2019/2,ST/SGB/2019/2,ST/SGB/2019/2,
PPB 2027,Mandates and background,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,"The Secretary-General’s bulletin on the organization of the Department (ST/SGB/2021/3) reflects the intergovernmental mandates confirming the division of responsibilities among the Under-Secretary-General and the Directors-General at Geneva, Vienna and Nairobi for delivering conference services in a standardized and integrated manner.",https://docs.un.org/en/ST/SGB/2021/3,ST/SGB/2021/3,ST/SGB/2021/3,
PPB 2027,Mandates and background,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,"In addition, pursuant to General Assembly resolution 69/250, the Under-Secretary-General for General Assembly and Conference Management is responsible for the Secretariat-wide coordination of multilingualism, a core value of the United Nations, and serves as system-wide lead entity on this matter in collaboration with the secretariat of the United Nations System Chief Executives Board for Coordination.",https://docs.un.org/en/A/RES/69/250,69/250,A/RES/69/250,General Assembly resolutions
PPB 2027,Mandates and background,A_81_6 (SECT. 2).json,,I,2,General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,DGACM,1.0,General assembly and economic and social council affairs and conference management,,"With reference to Assembly resolution 78/330, the Office of the Coordinator for Multilingualism will continue to facilitate, from within existing capacity, a coordinated, consistent and coherent approach to multilingualism across the Secretariat.",https://docs.un.org/en/A/RES/78/330,78/330,A/RES/78/330,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,,,Articles 33 and 99,,Charter of the United Nations
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,Revitalization of the United Nations Secretariat,https://docs.un.org/en/A/RES/46/232,46/232,A/RES/46/232,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,Special subjects relating to the programme budget for the biennium 2018–2019 (subsection III),https://docs.un.org/en/A/RES/72/262C,72/262,A/RES/72/262C,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,Cooperation between the United Nations and the League of Arab States,https://docs.un.org/en/A/RES/73/267,73/267,A/RES/73/267,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,Cooperation between the United Nations and the League of Arab States,https://docs.un.org/en/A/RES/77/17,77/17,A/RES/77/17,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,Cooperation between the United Nations and the League of Arab States,https://docs.un.org/en/A/RES/79/12,79/12,A/RES/79/12,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,The Pact for the Future,https://docs.un.org/en/A/RES/79/1,79/1,A/RES/79/1,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,Promotion of durable peace through sustainable development in Africa,https://docs.un.org/en/A/RES/79/264,79/264,A/RES/79/264,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,Peaceful settlement of the question of Palestine,https://docs.un.org/en/A/RES/80/72,80/72,A/RES/80/72,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,Questions relating to the proposed programme budget for 2026,https://docs.un.org/en/A/RES/80/242,80/242,A/RES/80/242,General Assembly resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,,https://docs.un.org/en/S/RES/1325(2000),1325 (2000),S/RES/1325(2000),Security Council resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,,https://docs.un.org/en/S/RES/1645(2005),1645 (2005),S/RES/1645(2005),Security Council resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,,https://docs.un.org/en/S/RES/1646(2005),1646 (2005),S/RES/1646(2005),Security Council resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,,https://docs.un.org/en/S/RES/2048(2012),2048 (2012),S/RES/2048(2012),Security Council resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,,https://docs.un.org/en/S/RES/2171(2014),2171 (2014),S/RES/2171(2014),Security Council resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,,https://docs.un.org/en/S/RES/2250(2015),2250 (2015),S/RES/2250(2015),Security Council resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,,https://docs.un.org/en/S/RES/2419(2018),2419 (2018),S/RES/2419(2018),Security Council resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,,https://docs.un.org/en/S/RES/2535(2020),2535 (2020),S/RES/2535(2020),Security Council resolutions
PPB 2027,Legislative mandates,A_81_6 (SECT. 3).json,,II,3,Political affairs,Department of Political and Peacebuilding Affairs,DPPA,2.0,Political affairs,,,https://docs.un.org/en/S/RES/2558(2020),2558 (2020),S/RES/2558(2020),Security Council resolutions
