full_document_symbol,origin_document,part_in_document,priority_area,link,symbol
A/RES/75/327,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/75/327,75/327
S/RES/2719 (2023),Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/S/RES/2719(2023),2719 (2023)
A/RES/79/241,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/241,79/241
A/RES/79/206,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/79/206,79/206
A/RES/79/134,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/134,79/134
A/RES/76/4,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/76/4,76/4
S/RES/1820(2008),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/1820(2008),1820 (2008)
A/RES/77/223,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/RES/77/223,77/223
A/RES/79/34,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/34,79/34
A/RES/69/15,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/69/15,69/15
A/RES/76/1,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/RES/76/1,76/1
A/RES/70/1,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/70/1,70/1
A/RES/76/205,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/76/205,76/205
A/RES/73/232,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/73/232,73/232
S/RES/2417 (2018),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2417(2018),2417 (2018)
A/RES/73/195,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/73/195,73/195
A/RES/79/138,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/79/138,79/138
A/RES/77/280,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/77/280,77/280
A/RES/69/283,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/69/283,69/283
A/RES/71/312,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/71/312,71/312
A/RES/78/31,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/78/31,78/31
A/RES/69/313,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/69/313,69/313
A/RES/79/195,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/79/195,79/195
S/RES/2282 (2016),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2282(2016),"2282
(2016)"
A/RES/78/185,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/78/185,78/185
A/RES/73/281,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/73/281,73/281
A/RES/78/205,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/78/205,78/205
A/RES/75/322,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/75/322,75/322
S/RES/2553 (2020),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2553(2020),2553 (2020)
A/RES/77/298,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/A/RES/77/298,77/298
A/RES/79/58,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/58,79/58
UN Charter Article 98,Plan Outline 2026-2028,Plan Outline,Promotion of justice and international law,https://www.un.org/en/about-us/un-charter/full-text,Article 98
FCCC/CP/2015/10/ADD.1,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/FCCC/CP/2015/10/Add.1,FCCC/CP/2015/10/Add.1
A/RES/67/1,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/RES/67/1,67/1
A/RES/59/311,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/59/311,59/311
S/RES/2272 (2016),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2272(2016),"2272
(2016)"
A/RES/71/256,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/71/256,71/256
S/RES/2427 (2018),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2427(2018),2427 (2018)
A/RES/72/279,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/72/279,72/279
A/RES/78/317,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/78/317,78/317
A/RES/70/1,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/RES/70/1,70/1
A/RES/79/152,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/79/152,79/152
S/PRST/2018/10,Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/PRST/2018/10,S/PRST/2018/10
A/RES/48/121,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/RES/48/121,48/121
A/RES/79/190,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/A/RES/79/190,79/190
A/RES/79/23,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/23,79/23
A/RES/72/266 B,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/72/266B,72/266 B
S/RES/2535 (2020),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2535(2020),2535 (2020)
A/RES/79/233,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/79/233,79/233
A/RES/65/281,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/RES/65/281,65/281
A/RES/76/83,Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/A/RES/76/83,76/83
S/RES/2457 (2019),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2457(2019),2457 (2019)
UN Charter Article 105,Plan Outline 2026-2028,Plan Outline,Promotion of justice and international law,https://www.un.org/en/about-us/un-charter/full-text,Article 105
A/RES/73/195,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/73/195,73/195
S/RES/2686 (2023),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2686(2023),2686 (2023)
A/RES/78/72,Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/A/RES/78/72,78/72
A/RES/70/155,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/RES/70/155,70/155
A/RES/78/330,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/78/330,78/330
A/HRC/RES/42/6,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/HRC/RES/42/6,42/6
A/RES/76/306,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/76/306,76/306
A/RES/72/304,Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/A/RES/72/304,72/304
UNEP/EA.5/RES.11,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/UNEP/EA.5/RES.11,5/11
A/RES/72/239,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/72/239,72/239
A/RES/74/4,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/74/4,74/4
S/RES/2242 (2015),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2242(2015),2242 (2015)
A/RES/76/185,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/A/RES/76/185,76/185
A/RES/1472(XIV),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/A/RES/1472(XIV),"1472
(XIV)"
UNEP/EA.5/RES.10,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/UNEP/EA.5/RES.10,5/10
S/RES/2467 (2019),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2467(2019),2467 (2019)
E/RES/2024/18,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/E/RES/2024/18,2024/18
UN Charter Article 104,Plan Outline 2026-2028,Plan Outline,Promotion of justice and international law,https://www.un.org/en/about-us/un-charter/full-text,Article 104
A/RES/78/257,Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/A/RES/78/257,78/257
A/RES/78/150,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/78/150,78/150
CAC/COSP 9/2,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",,9/2
UNEP/EA.5/RES.14,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/UNEP/EA.5/RES.14,5/14
A/RES/49/128,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/49/128,49/128
A/RES/60/251,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/RES/60/251,60/251
A/RES/60/1,Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/A/RES/60/1,60/1
A/RES/79/257,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/79/257,79/257
A/RES/79/140,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/79/140,79/140
A/RES/79/258,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/79/258,79/258
S/RES/2558 (2020),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2558(2020),"2558
(2020)"
A/RES/65/234,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/65/234,65/234
A/RES/76/181,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/A/RES/76/181,76/181
A/RES/75/201,Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/A/RES/75/201,75/201
A/RES/79/56,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/56,79/56
A/RES/67/246,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/67/246,67/246
A/RES/217(III),Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/RES/217(III),217 (III)
A/RES/75/1,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/75/1,75/1
A/RES/72/199,Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/A/RES/72/199,72/199
S/RES/2594 (2021),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2594(2021),2594 (2021)
A/RES/76/274,Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/A/RES/76/274,76/274
A/RES/76/78,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/76/78,76/78
A/RES/60/288,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/A/RES/60/288,60/288
UNEP/EA.4/RES.1,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/UNEP/EA.4/RES.1,4/1
S/RES/2436 (2018),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2436(2018),"2436
(2018)"
A/RES/69/273,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/69/273,69/273
A/RES/70/1,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/70/1,70/1
A/RES/78/275,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/78/275,78/275
A/RES/79/25,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/25,79/25
A/RES/68/268,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/RES/68/268,68/268
A/RES/78/331,Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/A/RES/78/331,78/331
E/HLS/2024/1,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/E/HLS/2024/1,E/HLS/2024/1
A/RES/71/254,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/71/254,71/254
A/RES/79/1,Plan Outline 2026-2028,Plan Outline,Effective functioning of the organization,https://docs.un.org/en/A/RES/79/1,79/1
A/RES/72/276,Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/A/RES/72/276,72/276
S/RES/1325(2000),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/1325(2000),1325 (2000)
UNEP/EA.5/RES.7,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/UNEP/EA.5/RES.7,5/7
A/RES/77/325,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/A/RES/77/325,77/325
A/RES/78/179,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/78/179,78/179
A/RES/50/42,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/50/42,50/42
A/RES/76/188,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/A/RES/76/188,76/188
S/RES/2382 (2017),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2382(2017),2382 (2017)
A/RES/79/28,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/28,79/28
A/RES/73/260,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/73/260,73/260
A/RES/48/141,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/RES/48/141,48/141
A/RES/79/226,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/79/226,79/226
A/RES/79/240,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/240,79/240
A/RES/79/222,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/79/222,79/222
S/RES/2617 (2021),Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/S/RES/2617(2021),2617 (2021)
S/RES/2447 (2018),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2447(2018),2447 (2018)
A/RES/73/227,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/73/227,73/227
A/RES/76/258,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/76/258,76/258
A/RES/73/151,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/73/151,73/151
S/RES/2462 (2019),Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/S/RES/2462(2019),2462 (2019)
A/RES/73/210,Plan Outline 2026-2028,Plan Outline,Promotion of justice and international law,https://docs.un.org/en/A/RES/73/210,73/210
S/RES/2419 (2018),Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/S/RES/2419(2018),2419 (2018)
A/RES/79/156,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/79/156,79/156
A/RES/79/78,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/78,79/78
A/RES/78/228,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/A/RES/78/228,78/228
A/RES/77/64,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/A/RES/77/64,77/64
A/HRC/RES/51/14,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/HRC/RES/51/14,51/14
A/RES/S-30/1,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/A/RES/S-30/1,S-30/1
A/RES/76/210,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/76/210,76/210
A/RES/79/221,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/79/221,79/221
A/RES/79/69,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/69,79/69
A/RES/69/147,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/69/147,69/147
UN Charter Article 102,Plan Outline 2026-2028,Plan Outline,Promotion of justice and international law,https://www.un.org/en/about-us/un-charter/full-text,Article 102
S/RES/2482 (2019),Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/S/RES/2482(2019),2482 (2019)
A/RES/79/75,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/75,79/75
A/RES/57/260,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/57/260,57/260
A/RES/79/139,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/79/139,79/139
A/RES/78/213,Plan Outline 2026-2028,Plan Outline,Promotion and protection of human rights,https://docs.un.org/en/A/RES/78/213,78/213
A/RES/77/289,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/77/289,77/289
S/2021/763,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/S/2021/763,S/2021/763
A/RES/79/27,Plan Outline 2026-2028,Plan Outline,Disarmament,https://docs.un.org/en/A/RES/79/27,79/27
A/RES/78/291,Plan Outline 2026-2028,Plan Outline,Maintenance of international peace and security,https://docs.un.org/en/A/RES/78/291,78/291
A/RES/72/249,Plan Outline 2026-2028,Plan Outline,Promotion of justice and international law,https://docs.un.org/en/A/RES/72/249,72/249
A/RES/79/264,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/79/264,79/264
A/RES/79/263,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/79/263,79/263
A/RES/79/243,Plan Outline 2026-2028,Plan Outline,"Drug control, crime prevention and combating terrorism",https://docs.un.org/en/A/RES/79/243,79/243
A/RES/78/1,Plan Outline 2026-2028,Plan Outline,Development of Africa,https://docs.un.org/en/A/RES/78/1,78/1
A/RES/79/203,Plan Outline 2026-2028,Plan Outline,Promotion of sustained economic growth and sustainable development,https://docs.un.org/en/A/RES/79/203,79/203
A/RES/79/205,Plan Outline 2026-2028,Plan Outline,Effective coordination of humanitarian assistance efforts,https://docs.un.org/en/A/RES/79/205,79/205
A/RES/78/236,Plan Outline 2026-2028,Plan Outline,Promotion of justice and international law,https://docs.un.org/en/A/RES/78/236,78/236
UN Charter Article 13,Plan Outline 2026-2028,Plan Outline,Promotion of justice and international law,https://www.un.org/en/about-us/un-charter/full-text,Article 13
